"","as.numeric(DOY)","meanSR1","meanSR2","meanSR3","meanSR4","meanST1","meanST2","meanST3","meanST4","meanSM1","meanSM2","meanSM3","meanSM4"
"235",237,1.10117647058824,2.24666666666667,2.29782608695652,1.86333333333333,27.0625,25.6566666666667,27.31,27.1183333333333,0.121967307083333,0.119641450083333,0.1338920327,0.112935021166667
"236",238,1.51705882352941,2.43478260869565,2.99,2.47458333333333,25.8791666666667,25.6075,26.5544444444444,27.25,0.157436631125,0.1359990325,0.161209879833333,0.126985181791667
"237",239,1.25285714285714,2.88416666666667,2.97875,2.42833333333333,27.7541666666667,27.1183333333333,27.966,28.4866666666667,0.128787966583333,0.128011368083333,0.1511295804,0.12571063525
"238",240,1.13933333333333,2.90583333333333,2.9075,2.41208333333333,28.9541666666667,28.5041666666667,30.9082352941176,29.9483333333333,0.0985890437916667,0.112696878291667,0.138339827647059,0.115952355333333
"239",241,1.22529411764706,3.12666666666667,2.83875,2.39916666666667,29.9716666666667,29.5716666666667,30.1819047619048,31.0408333333333,0.0784578896666667,0.0951269622916667,0.119778357190476,0.102526397541667
"240",242,1.124375,2.81041666666667,2.71,2.32333333333333,30.0483333333333,29.7466666666667,30.0514285714286,31.2325,0.0689680992083333,0.08352128125,0.10565791347619,0.093859387375
"241",243,1.03444444444444,2.66208333333333,2.60333333333333,2.20041666666667,29.8625,29.4316666666667,31.6344444444444,31.2083333333333,0.063410615375,0.076251510375,0.0962443689444445,0.0883848182916667
"242",244,1.14846153846154,2.59208333333333,2.57791666666667,2.20833333333333,30.2525,29.72,30.7095238095238,31.5991666666667,0.0606245461666667,0.072022584625,0.0898760594761905,0.08494545875
"243",245,0.827272727272727,2.26666666666667,2.27875,1.97708333333333,25.8366666666667,25.9125,25.6490909090909,27.2858333333333,0.0571164695833333,0.0671837802083333,0.0839579427727273,0.0799606802916667
"244",246,1.06923076923077,2.3025,2.29416666666667,2.04958333333333,30.8541666666667,29.8908333333333,29.987619047619,31.2733333333333,0.0606298518333333,0.0704719622916667,0.0861221434761905,0.0832564548333333
"245",247,1.22583333333333,2.30434782608696,2.27166666666667,1.92375,30.9675,29.9891666666667,30.7736363636364,31.1308333333333,0.05896763875,0.068472167625,0.0835944892272727,0.0812090805833333
"246",248,1.14,2.24416666666667,2.23333333333333,1.95083333333333,30.7258333333333,30.0666666666667,31.508,31.9483333333333,0.0572392615416667,0.0668331065833333,0.081501886,0.0803852384166667
"247",249,1.10266666666667,2.05958333333333,2.13583333333333,1.81,30.7883333333333,30.0566666666667,31.6336842105263,32.2225,0.0563841867083333,0.0654785455416667,0.0797302283157895,0.0789888596666667
"248",250,0.81,2.03125,2.08791666666667,1.74,30.9583333333333,29.9366666666667,32.1757894736842,31.9875,0.0559764612083333,0.0645419643333333,0.0790144406842105,0.0776396980416667
"249",251,0.985454545454545,1.96208333333333,2.025,1.58375,29.1216666666667,28.345,29.764,29.8941666666667,0.0558027839583333,0.06339230375,0.07686598025,0.0757775510416667
"250",252,0.846,1.95125,1.99333333333333,1.49541666666667,28.1883333333333,26.95,29.282,28.9291666666667,0.0585991495416667,0.065103035,0.0782983023,0.0769390703333333
"251",253,0.679285714285714,1.91625,1.97625,1.50166666666667,30.2591666666667,29.7333333333333,31.14,31.4583333333333,0.0579556128333333,0.0665382099166667,0.07812424445,0.077895310375
"252",254,0.872,1.71958333333333,1.94041666666667,1.50333333333333,30.5391666666667,29.5525,31.8231578947368,31.94,0.0561803626666667,0.0644549814583333,0.0770549166842105,0.0765699045
"253",255,0.756923076923077,1.70166666666667,1.94,1.445,31.3433333333333,30.2266666666667,32.0914285714286,32.9758333333333,0.05512904925,0.063618417,0.0755880119047619,0.0759830815
"254",256,1.04363636363636,1.67392857142857,1.9075,1.33214285714286,30.4657142857143,29.5942857142857,31.5269565217391,31.3385714285714,0.0537639941785714,0.0618891155357143,0.073859936,0.0735626982857143
"255",257,0.811818181818182,1.62458333333333,1.87083333333333,1.26916666666667,30.295,29.32,32.276,31.315,0.0543021687083333,0.0619400249166667,0.0745011611,0.073757060625
"256",258,0.723636363636364,1.50125,1.68291666666667,1.24375,28.7375,27.5741666666667,31.61,29.7916666666667,0.0537282988333333,0.0608786914166667,0.0740017117222222,0.07256192725
"257",259,0.887,1.42958333333333,1.62833333333333,1.05666666666667,28.3875,27.3816666666667,29.7636363636364,29.825,0.0537911999583333,0.0610753380833333,0.0723495483181818,0.0725390054583333
"258",260,0.668461538461538,1.37708333333333,1.54958333333333,1.06708333333333,27.9091666666667,26.7141666666667,30.2263157894737,29.2833333333333,0.0530893295,0.060194007125,0.072181673,0.0716212934583333
"259",261,0.702,1.37347826086957,1.46875,1.00833333333333,28.2783333333333,27.0041666666667,31.5433333333333,29.6608333333333,0.053246696375,0.0604898035,0.0729447581666667,0.0717147976666667
"260",262,0.683333333333333,1.38791666666667,1.49,0.982083333333333,27.6541666666667,26.8758333333333,29.578,29.0083333333333,0.0530818263333333,0.060413697,0.07139170695,0.071144003875
"261",263,0.685,1.33458333333333,1.42208333333333,0.946666666666667,28.2283333333333,27.3666666666667,30.633,29.6616666666667,0.053524962625,0.0608737195833333,0.0721016046,0.07165746425
"262",264,1.41666666666667,1.34916666666667,1.39208333333333,0.897916666666667,28.7558333333333,27.66,31.149,30.2208333333333,0.053431953625,0.060865237875,0.072361803,0.071566888375
"263",265,1.61083333333333,1.30291666666667,1.32708333333333,0.825,28.115,26.8925,32.2647058823529,29.4341666666667,0.0520073240416667,0.059627269,0.0723288758235294,0.07013478925
"264",266,1.40291666666667,1.2225,1.24125,0.718333333333333,25.0383333333333,24.385,27.2526315789474,26.5683333333333,0.050253499625,0.057695405125,0.0685240746315789,0.0678457681666667
"265",267,1.19541666666667,1.08458333333333,1.11166666666667,0.6875,24.925,23.7283333333333,27.547,26.8016666666667,0.0494278535833333,0.0567876638333333,0.06785938595,0.067506420625
"266",268,1.07416666666667,1.02416666666667,1.01444444444444,0.626111111111111,22.6033333333333,21.5961111111111,27.5075,24.505,0.0469237540555556,0.0544725517777778,0.06693886175,0.0647608371944444
"267",269,1.09333333333333,1.04708333333333,1.005,0.618333333333333,24.5025,23.4741666666667,29.07375,26.7316666666667,0.0477361047916667,0.055592601625,0.067712802875,0.0658626810833333
"268",270,1.12458333333333,1.00958333333333,1.02541666666667,0.65125,25.6416666666667,24.805,28.3515789473684,27.5841666666667,0.0484375085416667,0.05649437275,0.0669001429473684,0.06611864475
"269",271,1.06,0.99,0.98375,0.6325,25.2541666666667,24.2516666666667,28.6322222222222,27.2533333333333,0.0486915040833333,0.056345731375,0.0675020153888889,0.0659709816666667
"270",272,1.13583333333333,1.05208333333333,1.06083333333333,0.669166666666667,26.9875,25.7725,28.72,28.8725,0.0515529111666667,0.0586763084583333,0.06847288135,0.0680875223333333
"271",273,1.12608695652174,1.03125,1.03083333333333,0.6275,26.8008333333333,25.5508333333333,27.7933333333333,28.3375,0.0515547387083333,0.058704001875,0.0679932283333333,0.0679979929166667
"272",274,1.08625,0.991666666666667,0.973333333333333,0.615,25.8475,25.115,28.9922222222222,27.975,0.049453814375,0.0573719867916667,0.0680187041111111,0.0668451675416667
"273",275,1.13666666666667,0.96875,0.956666666666667,0.52625,25.1958333333333,24.7991666666667,28.2129411764706,27.265,0.048445975,0.056386963125,0.0666275368823529,0.065686992375
"274",276,0.954166666666667,0.913333333333333,0.942916666666667,0.56125,25.4608333333333,24.6241666666667,27.9329411764706,27.7966666666667,0.0482607914583333,0.055930516375,0.0658959360588235,0.06578871325
"275",277,0.974166666666667,0.9175,0.951666666666667,0.61875,26.5425,25.545,28.3442105263158,28.2508333333333,0.0496524904166667,0.05694625425,0.0666293245789474,0.06626330125
"276",278,1.13045454545455,1.13772727272727,1.12954545454545,0.696363636363636,26.3090909090909,24.9854545454545,29.9692307692308,27.8290909090909,0.0518170795,0.0581547097272727,0.0697451803846154,0.0674372992727273
