"PA","AT2","RH2","AT6","RH6","SWC5","SWC15","SWC30","ST5","ST15","ST30","NEE","RECO"
84.39486,23.18,45.69675145,24.44,41.6826832,9,9,9,24.3,27.4,29.9,0.8212055407,0.8212055407
84.41271,23.44,46.56060169,24.44,43.34102651,9,9,9,24.1,27.2,29.8,0.6249851943,0.6249851943
84.43558,24.34,45.33113335,25.01,43.09994953,9,8,9,24,27.1,29.7,0.5308009802,0.5308009802
84.45797,25.01,43.22757896,25.64,40.89186291,9,8,9,24,27,29.6,0.4880293217,0.5454295557
84.48194,25.46,42.03573324,25.97,39.89822982,9,9,9,24.1,26.8,29.5,0.4533988667,0.5574257288
84.48408,26.09,40.09204673,26.42,38.38937469,9,9,9,24.4,26.8,29.4,1.376692933,1.376692933
84.48573,26.92,37.17558696,27.1,35.57838763,9,9,9,24.7,26.7,29.3,0.2213628301,0.5922167432
84.46761,29.42,29.75801774,28.99,29.46083783,9,9,9,25.3,26.7,29.2,0.5746081508,0.6399157125
84.43551,30.8,24.72312581,30.37,24.44901989,9,9,9,26.5,26.7,29.1,0.7212972931,0.7212972931
84.43403,31.12,23.00738863,30.76,22.46975204,10,8,9,28.1,26.8,29,0.4315826036,0.6921679257
84.43011,31.54,21.88402506,31.06,21.58145575,10,9,9,29.6,27,29,0.7602860022,0.7602860022
84.4103,32.48,19.94842662,31.75,19.83033487,10,9,9,31.2,27.2,28.9,2.011312248,2.011312248
84.38543,33.11,19.10628576,32.41,18.71153063,10,9,9,32.9,27.5,28.8,1.96313082,1.96313082
84.36169,33.91,17.63176213,33.16,17.2065895,10,9,9,34.7,27.9,28.8,2.042976856,2.042976856
84.32323,34.8,16.25755914,34.01,15.70342055,11,9,9,36.3,28.4,28.7,2.512224637,2.512224637
84.28908,35.02,15.77588959,34.39,15.02607689,11,9,9,37.8,28.9,28.7,2.781572707,2.781572707
84.26646,35.6,14.9733662,34.93,14.15444658,11,9,9,39.1,29.5,28.7,2.342706224,2.342706224
84.2285,35.99,13.89933621,35.2,13.49912806,11,9,9,40.2,30.1,28.7,1.872743933,1.872743933
84.18745,36.18,13.5581239,35.54,13.06147745,11,9,9,41.1,30.7,28.7,2.25920696,2.25920696
84.12318,36.31,14.16088232,35.68,13.41628774,11,9,9,41.7,31.2,28.8,1.800316851,1.800316851
84.07933,36.09,15.29544129,35.68,14.38052239,11,9,9,42,31.7,28.9,1.39490512,1.39490512
84.09467,36.06,14.63256354,35.67,13.62350762,11,9,9,42.1,32.2,28.9,1.811073076,1.811073076
84.08297,35.68,15.47560946,35.51,14.27866434,11,9,9,41.9,32.6,29.1,1.958362327,1.958362327
84.08463,34.77,15.95626124,34.87,14.50933809,11,10,9,41.4,32.9,29.2,1.140565683,1.140565683
84.09858,34.38,15.97574455,34.6,14.47229321,11,10,9,40.8,33.1,29.3,1.085186917,1.085186917
84.12148,33.52,15.94429379,34.01,14.37194517,11,10,9,39.9,33.2,29.4,0.74598859,0.8714999435
84.14484,33.15,15.67263699,33.73,14.03879382,11,9,9,38.9,33.2,29.6,1.056783764,1.056783764
84.16753,32.22,16.97631139,32.97,15.04828967,11,9,9,37.9,33.1,29.7,1.096880381,1.096880381
84.20889,31.2,19.39381592,32.09,17.09318306,11,10,10,36.9,33,29.8,1.056081465,1.056081465
84.27226,29.35,24.93031977,30.2,22.96863584,11,10,9,36,32.9,29.9,1.247039722,1.247039722
84.33247,28.63,26.51414813,29.52,24.46910029,11,9,9,35.1,32.7,30,0.8807828153,0.8807828153
